"File","27 -> 27  Al  [ H2 ]","31 -> 47  P  [ N2O ]","45 -> 61  Sc  [ N2O ]","56 -> 56  Fe  [ H2 ]","59  Co  [ He ]","60  Ni  [ He ]","65  Cu  [ He ]","66  Zn  [ He ]","69 -> 69  Ga  [ N2O ]","71 -> 71  Ga  [ N2O ]","78 -> 78  Se  [ H2 ]","85  Rb  [ He ]","88  Sr  [ He ]","89 -> 105  Y  [ N2O ]","90 -> 106  Zr  [ N2O ]","111  Cd  [ He ]","121  Sb  [ He ]","125  Te  [ He ]","130 -> 130  Te  [ N2O ]","137 -> 137  Ba  [ N2O ]","139 -> 155  La  [ N2O ]","140 -> 156  Ce  [ N2O ]","141 -> 157  Pr  [ N2O ]","146 -> 162  Nd  [ N2O ]","147 -> 163  Sm  [ N2O ]","153 -> 169  Eu  [ N2O ]","157 -> 173  Gd  [ N2O ]","159 -> 175  Tb  [ N2O ]","163 -> 179  Dy  [ N2O ]","165 -> 181  Ho  [ N2O ]","166 -> 182  Er  [ N2O ]","169 -> 185  Tm  [ N2O ]","172 -> 188  Yb  [ N2O ]","175 -> 191  Lu  [ N2O ]","101  Ru  [ He ]","105  Pd  [ He ]","185 -> 217  Re  [ N2O ]","195  Pt  [ He ]","197  Au  [ He ]","200 -> 200  Hg  [ H2 ]","202 -> 202  Hg  [ H2 ]","205  Tl  [ He ]","206  Pb  [ He ]","107  Ag  [ He ]","208  Pb  [ He ]","209  Bi  [ He ]","232  Th  [ He ]","238  U  [ He ]"
"USE-13-R3",6.76179632869939,5.431628501579,3.1010120245174,6.50175248408383,3.05597043770514,3.89851595345938,6.02159345612202,4.2253771511185,2.71493154099875,3.21642641974216,1.96514702562387,3.72013442688141,4.29256375338757,3.22086952595736,3.91619087348505,1.89281838641053,1.98291975619825,0.579202876383742,0.378881996601617,4.56059974186905,3.27823981864929,3.60960359177569,2.72528581708655,3.25802314357344,2.58492660237845,1.98086355855286,2.54624302241499,1.75520070087735,2.48621378950082,1.79510160174435,2.26887213257402,1.43860622656781,2.21074968518042,1.39402716402164,0.261416633252629,1.78341575897132,0.709693689667644,0.854426693853241,0.852738411339768,-2.24969918391378,0.874623059323466,1.32073156284829,3.21834915523147,1.47609201313073,3.16085830065136,0.581893874842183,2.77184568442059,2.42015254275466
"USE-14-R1",5.51342359105499,4.79104598083377,2.26489333824018,5.75574159486092,2.01708867942006,3.25842641432419,5.79201568734245,3.84383928329763,1.33443363667195,1.95360183130471,1.27676024876178,2.52818781200555,3.79475837954215,2.26786815153872,3.26637285153124,1.3592657604399,1.56413062810297,0.579202876383742,-0.874520066371068,3.96172646081967,2.19619509961242,2.46987112120863,1.60766651864116,2.13761116414969,1.42151902490724,0.852015133218975,1.39424524540122,0.623805388939968,1.36439583934777,0.65264593815738,1.20062284302334,0.283162674254251,1.0027659735434,0.413909732853017,-0.330851365413551,0.974033516339253,1.08930595929227,-1.47296746722647,-1.41652776255884,-2.24969918391378,-0.0232744307330882,0.0382412195328038,3.32218542766605,1.01699030077187,3.27883833362368,-1.14099268409711,1.63068854552013,1.27239075485767
"USE-14-R2",5.47200219657181,4.86686555211928,2.25119237272337,5.74296763784136,1.96877368662052,3.40217686091773,5.88187847147036,3.99610028352819,1.30116694105964,1.86471732613797,1.06247091011277,2.4121496728885,3.94325525908652,2.48100793768762,3.35047845043886,1.40162630513665,1.68526875110597,0.579202876383742,-0.874520066371068,3.98673807439229,2.43564337618344,2.7659002076132,1.92824111476707,2.48084460132201,1.79502537247862,1.07333932392727,1.79111034879743,0.963581224648783,1.70149564664037,0.988973952753383,1.44429315243388,0.619805054484856,1.3389897798073,0.551373344636176,-0.592348324846079,1.33594797597557,0.709693689667644,-1.47296746722647,0.773481486899355,-1.94866918824979,0.457004930089534,0.238954132623214,2.76214545765791,0.959438202238525,2.73652772789523,-1.14099268409711,1.57032366555271,1.45127574014927
"USE-14-R3",5.50205966956625,4.81250051859091,2.1244810487621,5.57309178845555,1.9733092301497,3.2769144618737,5.47784205871449,3.87803587436484,1.31960795600548,1.92982685480749,1.27019387339618,2.57153607029234,3.7116821970169,2.44110773941216,3.45884836549527,1.51568290553945,1.54260612734301,0.579202876383742,-0.874520066371068,3.93330861212139,2.30579018588594,2.59780606443005,1.75034943168944,2.30431180831313,1.58497269225507,1.05746993642264,1.64749428121339,0.797883990163406,1.58547062756325,0.888509464505517,1.39539226474723,0.467374404631448,1.25478473280017,0.392215871509538,-0.934885246522087,1.09005710804249,0.709693689667644,-1.17193747156248,0.822450968134555,-2.24969918391378,-0.886502503402452,-0.104712847691462,3.02701316326152,1.07123839056216,2.99207742240307,-1.14099268409711,1.79354642778993,1.37678480517781
"USE-15-R1",5.75026119529724,4.80648604185082,2.31606486809366,5.74560661515511,2.82546555476799,4.30113732111176,4.93439680026729,5.20350327064018,1.62025500665724,2.23404773097503,1.52003637166465,2.87938349244403,3.84343261881207,2.46868221316997,3.37004571610667,1.67644628998722,1.93721808255044,0.579202876383742,0.297636376527808,4.04087518848939,2.47107348065688,2.68010411387241,1.83940752075154,2.44508640251209,1.62870498503146,1.12500154124542,1.70898856566478,0.888678416729161,1.68370762260547,0.940568725369735,1.48412051378542,0.704571597271768,1.38874012195992,0.634111781855646,-0.934885246522087,1.12787475347178,0.709693689667644,-1.47296746722647,-1.41652776255884,-2.24969918391378,0.701390548525312,0.356233994173903,2.44026234442419,1.01916960707093,2.35769191722826,-1.14099268409711,1.95156963289404,1.69029464817539
"USE-15-R2",5.83139057111229,4.91213680207537,2.41537098579814,5.8138812468352,2.79841466673152,4.23806897952135,4.98281091368969,5.1928478179393,1.75243295435664,2.31356794633458,1.49869088479824,2.96344705469666,3.93150653907619,2.55576095268317,3.45620441534884,1.86053843145964,1.86481679075966,0.579202876383742,-0.874520066371068,4.06743843437458,2.55010314577173,2.78000495350405,1.91708548463899,2.52005150117759,1.80765347956092,1.27985052809571,1.73340262116724,1.02644885436067,1.78513068569387,1.10382754478617,1.52131400137577,0.665211626151163,1.43875764086782,0.728452018853686,-0.934885246522087,1.02798396311254,0.709693689667644,-1.47296746722647,-1.41652776255884,-2.24969918391378,0.515886888632619,0.481773305139536,2.51048954665982,1.13202849814375,2.45197413546498,-1.14099268409711,1.98144549805842,1.77396074004773
"USE-15-R3",5.72619489050125,4.81539202859231,2.31095919275634,5.72860373638602,2.84786998027085,4.3281787999969,4.86988253007712,5.16687576167021,1.58643433655424,2.22178711782996,1.38444330521652,2.86034706137712,3.90951000908965,2.47258034427682,3.39526997668282,1.61151320912619,1.84325690144867,0.579202876383742,0.675534058950664,4.04083810772112,2.45892549930741,2.67192145292834,1.81674549988265,2.42724156928914,1.69922210571373,1.12352556695029,1.7098657522024,0.858564330984957,1.65378342024421,0.936646074070909,1.46268462249875,0.601858978157749,1.36082710325669,0.616882279498827,-0.287137782486028,1.21121002670776,0.709693689667644,-1.47296746722647,-1.41652776255884,-2.24969918391378,0.181023676529499,0.242175257017033,2.41354548621688,1.03453073556563,2.35420586518337,-1.14099268409711,1.91041238776762,1.69501788235866
"USSB-03-R1",4.97940557280637,3.79589627191339,2.48498346590841,4.50916337287765,1.3528214925066,2.19495919746686,2.20251984856711,4.49939064913312,1.18344350949787,1.32781809434731,0.0406764534616182,2.08713352317303,4.28946176408946,1.95864960648321,2.94729307343599,1.02828673906857,2.21378825967423,0.579202876383742,-0.874520066371068,3.90057130365817,1.68933269532378,2.01080344372235,1.01650260383602,1.56766043339615,0.851311611625893,0.0809732647893828,0.907591604139619,-0.0109114877153198,0.932047446239296,0.265635036010822,0.692977991131646,-0.162672443664022,0.758180221232804,0.0149707244939343,0.669560709969933,1.80684158737417,0.709693689667644,1.12346964072841,0.831682499709994,1.15490890346408,0.705434051126021,-1.96165550277568,2.18406494471422,0.794689915500871,2.18305397470675,2.93656876028518,1.0643159959423,1.23779790659039
"USSB-03-R2",4.98105438454699,3.74122474443095,2.48207778621437,4.44799449033891,1.34175679216267,2.09342384394527,2.11577592107706,4.44583220865976,0.981685355466152,1.21551565027859,0.818320303104003,2.09064682525614,4.29754072773709,2.14489369510572,3.35586170308614,1.11739332029826,1.92140468759853,0.579202876383742,-0.874520066371068,3.82151541670545,1.67753235251437,1.98635881017325,1.0050542932703,1.59098999817815,0.940721116043483,0.134860506070346,0.853921760546435,0.00246615895781053,0.918811119054612,0.364019024101778,0.650560693826794,-0.117679275298514,0.654816816526883,-0.561306085742021,-0.100026265960787,1.85941991126084,0.709693689667644,1.39075551799158,1.64949533389098,0.666019309585739,1.00913790649235,-1.96165550277568,1.90614545748561,0.867632388265962,1.89318071362618,2.35221507827219,1.0795437933045,1.28513443888845
"USSB-03-R3",4.98461841106856,3.74935894452955,2.50393947714601,4.51661283353785,1.27889357833216,2.12359408713257,3.02527951312547,4.43682504120526,1.02231195002781,1.30807707255831,0.0406764534616182,2.06799298080614,4.30454068431926,2.07703236620374,3.28910309827427,1.18207922539674,2.02275021934886,0.579202876383742,-0.874520066371068,3.98598892521138,1.67498356736458,1.9795015274212,1.02002531193689,1.66996171030814,0.89195322968569,0.1604877880195,0.947612328167955,-0.147098309264384,1.0092821714398,0.334880744715215,0.758809805184376,-0.166090067543495,0.426554629548557,-0.097252005608672,-0.934885246522087,1.84070743397966,0.709693689667644,1.38867443911384,1.52515080640728,0.692638240383535,0.990670975800201,-1.6606255071117,1.99519746312405,0.972082468230947,1.95943534885217,2.35214051732925,1.25039020910044,1.37324638872862
