"File","Plastic_type","Category","Polymer","Source","PC1","PC2","UMAP1","UMAP2"
"USSB-01-R1","Plastic Cutlery","Unlabeled","Polylactic Acid","Store-Bought",-1.85803758949409,2.17765826350814,0.577864547993549,0.776078798241828
"USSB-01-R2","Plastic Cutlery","Unlabeled","Polylactic Acid","Store-Bought",-0.944392567452117,1.7722340552353,0.326927235063953,0.856233137184966
"USSB-01-R3","Plastic Cutlery","Unlabeled","Polylactic Acid","Store-Bought",-1.02595642924345,2.55294366002863,0.558408262145847,0.829114461367019
"USSB-02-R2","Plastic Cutlery","Unlabeled","Polystyrene","Store-Bought",8.81916260171893,-0.251447158355728,-1.22963724571649,-4.63622597657653
"USSB-06-R1","Plastic Cutlery","Unlabeled","Polystyrene","Store-Bought",7.55771961256592,0.295799847916203,-1.30574354175122,-4.53388426475497
"USSB-07-R1","Plastic Drinking Straws","Unlabeled","Polypropylene","Store-Bought",5.21298993503204,-1.94915900938587,-0.672422242934365,-3.93090445532986
"USSB-10-R1","Balloons","Unlabeled","Rubber","Store-Bought",-4.19664135001608,-0.462664376985158,1.05888050596025,1.92988207662007
"USSB-10-R2","Balloons","Unlabeled","Rubber","Store-Bought",-3.93841144656329,-0.694568785408952,1.13969812950418,1.70862551261256
"USSB-16-R1","Plastic Plates","Unlabeled","Polystyrene","Store-Bought",3.51523044093664,1.0174015970364,-0.739624794781429,-2.83220299770748
"USSB-17-R1","Cigarettes","Unlabeled","Cellulose; Polylactic Acid","Store-Bought",4.71761486536878,0.742207781536679,-0.464163451649805,-3.18369147237095
"USSB-17-R2","Cigarettes","Unlabeled","Cellulose; Polylactic Acid","Store-Bought",4.71940915652653,0.718667405603295,-0.493114888203218,-3.27140411476773
"USSB-17-R3","Cigarettes","Unlabeled","Cellulose; Polylactic Acid","Store-Bought",4.2182457703159,2.14011742054347,-0.60442228830223,-3.11617803440305
"USSB-18-R1","Cigarettes","Unlabeled","Cellulose; Polylactic Acid","Store-Bought",-0.59572368170788,2.25019379435261,0.30032160206493,0.59880649930398
"USSB-18-R2","Cigarettes","Unlabeled","Cellulose; Polylactic Acid","Store-Bought",1.06958781188228,2.64844113811555,0.228373622380001,0.622367658760044
"USSB-19-R1","Cigarettes","Unlabeled","Cellulose; Polylactic Acid","Store-Bought",-1.67060943533685,1.75521379233833,0.378105970146015,1.06098187721337
"USSB-19-R2","Cigarettes","Unlabeled","Cellulose; Polylactic Acid","Store-Bought",-1.13546533190999,1.49969428525993,0.169906844484025,0.883465968963339
"USSB-21-R1","Cigarette Lighters","Unlabeled","Polystyrene","Store-Bought",6.28237017071739,1.82403834752906,-1.62812134953104,-4.49920827867731
"USSB-21-R2","Cigarette Lighters","Unlabeled","Polystyrene","Store-Bought",7.25964890811017,2.51398710641578,-1.52648049854928,-4.8201798688439
"USSB-21-R3","Cigarette Lighters","Unlabeled","Polystyrene","Store-Bought",6.78687187198784,1.80465198751121,-1.72611832877644,-4.46508316499566
"USSB-22-R1","Cigarette Lighters","Unlabeled","Polytetrafluoroethylene","Store-Bought",6.57492728843756,2.51967581265848,-1.76626279691962,-4.51978768778667
"USSB-22-R2","Cigarette Lighters","Unlabeled","Polytetrafluoroethylene","Store-Bought",1.84780637763668,2.80720558208979,0.137818048846399,0.0901399498651894
"USSB-22-R3","Cigarette Lighters","Unlabeled","Polytetrafluoroethylene","Store-Bought",4.13245435031175,2.69968428022312,-1.88747155131932,-4.25983453937429
"USSB-27-R1","Plastic Cable Ties","Unlabeled","Polyamide","Store-Bought",7.53226829725599,0.845135492597531,-0.338912231685389,-5.15573178558781
"USSB-27-R2","Plastic Cable Ties","Unlabeled","Polyamide","Store-Bought",7.04085630781409,0.214444605408933,-0.47750169989292,-5.08713596959747
"USSB-27-R3","Plastic Cable Ties","Unlabeled","Polyamide","Store-Bought",6.68574741700368,-0.109821004498949,-0.320955882402773,-5.26108716508493
"USSB-31-R1","Plastic Cups","Unlabeled","Polystyrene","Store-Bought",0.790231683911512,1.45210480392896,-0.313879760240841,0.612899840917844
"USSB-31-R2","Plastic Cups","Unlabeled","Polystyrene","Store-Bought",-0.513911349302219,1.92655411482969,-0.124167342042538,0.688347334831802
"USSB-40-R1","Plastic Bottles","Unlabeled","Polyeythlene terephthalate","Store-Bought",7.87152577819303,0.640772146731983,-0.975338808048738,-5.27556483843551
"USSB-40-R2","Plastic Bottles","Unlabeled","Polyeythlene terephthalate","Store-Bought",7.17117742463122,1.58774405357692,-0.994185183017983,-5.12155898682516
"USSB-40-R3","Plastic Bottles","Unlabeled","Polyeythlene terephthalate","Store-Bought",8.54011781069616,-0.0423811204888012,-0.902948585563818,-5.41275799472449
